Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,current_price,previous_price,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews
45,Samsung,Galaxy A03 Core ,6.5,,,8MP + 5MP,Dual,5000.0,52.0,1088.0,28%,4.0,Samsung Ecco World -,100%,177,"[ (4 out of 5) It's great ], [ (5 out of 5) Nice phone with good functionalities ], [ (4 out of 5) delivery ], [ (5 out of 5) Original product ], [ (4 out of 5) I like ]"
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,Infinix,Hot 30i ,6.6,12.0,128.0,13MP + 8MP,Dual,5000.0,74.0,1109.0,1%,4.5,Kattason enterprise,94%,291,No reviews
49,Freeyond,F9 ,6.52,3.0,128.0,3.0MP + 2.0MP + 8.0MP,Dual,5000.0,57.0,1628.0,48%,3.8,FreeYond-COD,86%,443,"[ (5 out of 5) its legit  ], [ (5 out of 5) Awesome for the money ], [ (2 out of 5) freeyond F9 ], [ (4 out of 5) I like it ], [ (3 out of 5) so far so good ], [ (4 out of 5) the phone is good but charger ni bure kabisa ]"
50,XIAOMI,Redmi 12 ,6.79,8.0,128.0,50MP + 8MP + 2MP + 8MP,Dual,5000.0,109.0,1972.0,17%,5.0,XIAOMI KE,100%,9268,No reviews
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,Infinix,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,Dual,5000.0,50.0,1020.0,27%,4.0,Tech Traders,86%,722,No reviews
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,Nokia,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,Dual,0.0,36.0,816.0,34%,4.1,Kattason enterprise,94%,291,No reviews
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,XIAOMI,Redmi Note 12 ,6.67,6.0,128.0,50MP + 8MP + 2MP,Dual,0.0,127.0,2448.0,22%,4.6,XIAOMI KE,100%,9268,"[ (5 out of 5) like it ], [ (5 out of 5) Excellent phone ], [ (5 out of 5) best phone best price ], [ (5 out of 5) Features ], [ (5 out of 5) Its perfect ], [ (5 out of 5) I love it! ]"
60,,,,,,,,,,,,,,,,
61,XIAOMI,Redmi 12 ,6.79,8.0,256.0,50MP + 8MP + 2MP + 8MP,Dual,5000.0,118.0,2108.0,16%,0.0,XIAOMI KE,100%,9268,No reviews
62,,,,,,,,,,,,,,,,
